Facility.ID,PSI_03.x,PSI_06.x,PSI_08.x,PSI_09.x,PSI_10.x,PSI_11.x,PSI_12.x,PSI_13.x,PSI_14.x,PSI_15.x,PSI_90.x,MORT_30_COPD,MORT_30_HF,MORT_30_PN,READM-30-HF-HRRP,READM-30-COPD-HRRP,READM-30-PN-HRRP,H_COMP_1_STAR_RATING.x,H_COMP_2_STAR_RATING.x,H_COMP_3_STAR_RATING.x,H_COMP_5_STAR_RATING.x,H_COMP_6_STAR_RATING.x,H_COMP_7_STAR_RATING.x,H_CLEAN_STAR_RATING.x,H_QUIET_STAR_RATING.x,H_HSP_RATING_STAR_RATING.x,H_RECMND_STAR_RATING.x,H_STAR_RATING.x,HAI_6_SIR,OP-10,OP_18b,SEP_1,SEP_SH_3HR,SEV_SEP_3HR,SEV_SEP_6HR,EDAC_30_HF,EDAC_30_PN,OP_32,OP_36,READM_30_COPD,READM_30_HF,READM_30_HOSP_WIDE,READM_30_PN,PSI.90.W.Z.Score,CAUTI.W.Z.Score,CDI.W.Z.Score,Total.HAC.Score,MSPB-1.x,MORT.30.COPD.Measure.Score,MORT.30.HF.Measure.Score,MORT.30.PN.Measure.Score,MSPB.1.Measure.Score,Communication.with.Nurses.Dimension.Score,Communication.with.Doctors.Dimension.Score,Responsiveness.of.Hospital.Staff.Dimension.Score,Care.Transition.Dimension.Score,Communication.About.Medicines.Dimension.Score,Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score,Discharge.Information.Dimension.Score,Overall.Rating.of.Hospital.Dimension.Score,HCAHPS.Base.Score,HCAHPS.Consistency.Score,HAI.6.Measure.Score,Weighted.Normalized.Clinical.Outcomes.Domain.Score,Unweighted.Person.and.Community.Engagement.Domain.Score,Weighted.Person.and.Community.Engagement.Domain.Score,Unweighted.Normalized.Efficiency.and.Cost.Reduction.Domain.Score,Weighted.Efficiency.and.Cost.Reduction.Domain.Score,Total.Performance.Score
50073,0.345767,0.221365,0.094784,2.449775,1.404409,NA,3.243557,4.709357,0.851825,1.123277,0.883656,NA,9.3,15,0.9387,NA,0.9474,3,4,3,3,3,3,2,3,4,4,3,0.393,NA,NA,79,89,90,97,-54.8,1.1,NA,NA,NA,20.7,14.4,16.3,-0.1988,-0.7312,-0.6527,-0.5254,0.839749,NA,1,NA,10,1,4,1,1,2,0,1,2,12,17,5,8.75,29,7.25,100,25,52.5
50075,0.881415,0.215989,0.09396,2.305971,1.342214,4.054836,3.751087,4.145666,1.001158,1.39943,1.015867,8.9,10.6,14.5,1.029,1.0271,0.9738,2,3,2,2,3,3,2,2,3,3,3,0.373,NA,NA,67,90,80,96,-1.2,60.8,NA,NA,20.4,23.1,16.4,16.2,-1.0365,0.8429,-0.3173,-0.0374,0.951573,0,7,5,3,0,0,0,0,0,1,0,0,1,12,3,11.25,13,3.25,30,7.5,27.5
50076,0.397029,0.2264,0.095009,2.365106,1.287599,4.731881,3.187613,4.531756,0.851259,1.149864,0.878082,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,2,1,3,3,3,0.473,NA,NA,48,77,78,96,NA,NA,NA,NA,NA,NA,15.4,NA,-0.9932,0.8178,-0.2496,0.0169,0.786066,NA,NA,NA,10,0,2,0,0,0,0,0,0,2,13,5,NA,15,5,100,33.333333333333,51
50077,0.242076,0.27322,0.099739,2.555934,1.176859,5.693338,4.601444,4.948394,1.072504,0.799663,0.956305,6.2,9.7,13.9,1.0988,0.993,1.0176,3,3,2,3,3,3,2,1,3,2,3,0.234,1.9,160,64,89,91,84,2.2,6.1,17.8,1.1,18.9,24.3,15.8,17.1,0.6689,0.1584,-1.2171,0.2759,1.021971,6,7,10,0,1,0,0,1,0,0,2,0,4,15,7,15,19,4.75,0,0,25.25
50078,0.30587,0.220721,0.09439,2.462005,1.408788,4.807285,3.738118,5.408058,0.850841,1.121522,0.935168,7.7,12.7,16,0.9558,1.0463,0.9482,3,3,2,3,2,2,3,2,3,3,3,0.439,1.7,154,71,94,83,92,2.3,-12.6,18.8,1,20.2,21,14.8,16.1,-0.628,0.1647,-0.5011,-0.8888,0.989215,0,1,2,0,0,3,0,0,1,0,0,0,4,13,5,2.5,17,4.25,0,0,25.5
50082,0.138079,0.319491,0.090673,2.44104,1.89825,5.916079,3.507246,5.857931,1.287347,1.237917,0.985632,7.3,9.2,13.3,1.0508,0.9773,1.0313,3,3,2,3,3,3,3,3,3,3,3,0.527,0,164,83,100,88,94,-3.7,10.6,16.7,1,19.9,23.8,16,17.2,1.1853,1.0543,0.4342,0.5202,0.97566,2,10,9,1,1,0,0,1,1,1,0,2,6,15,1,17,21,5.25,10,2.5,29.25
50084,0.485974,0.237865,0.088814,2.511659,1.631828,4.525486,1.818012,5.25053,0.788774,1.058046,0.881847,7.2,10.7,16,1.1122,1.0013,1.1865,3,2,3,3,3,2,2,1,3,3,3,0.67,1.4,198,74,89,87,96,2.6,27.5,18.2,1.6,19.6,24,15.9,19.4,-1.5047,-1.3172,0.3084,-0.6741,0.973148,3,0,6,1,1,1,0,1,1,0,0,0,4,14,1,8,18,4.5,10,2.5,25.5
50089,0.424924,0.226124,0.09524,2.506147,NA,NA,3.426093,NA,0.851869,1.163175,0.935147,7.9,10.9,14,1.0357,1.1037,1.0858,3,2,3,3,3,3,2,3,3,3,3,0.403,1.3,134,59,86,81,84,-17.1,34.3,NA,NA,20.7,22.1,15.6,17.9,-0.5788,-0.4925,0.0536,-0.0463,1.096271,0,1,5,0,1,1,2,2,0,1,2,2,11,17,3,5,28,7,0,0,25
50090,0.421546,0.227124,0.095129,2.514099,1.415175,4.835141,3.31591,5.375393,0.858009,1.16984,0.949214,7.9,10.4,16,0.9151,0.9603,0.8753,3,3,3,2,4,2,3,2,2,2,3,0.499,0.7,114,NA,NA,NA,NA,-10.4,15.7,17,0.9,19,20.4,15.2,15.4,-0.4975,0.4389,0.2536,0.065,0.924432,0,2,3,5,0,2,2,0,0,0,4,0,8,15,10,7.5,23,7.666666666667,50,16.666666666667,31.833333333333
50091,0.355349,0.225079,0.094912,2.501373,NA,NA,3.391288,NA,0.857897,1.176483,0.913907,8.6,8,14.3,1.0531,1.0262,0.982,1,1,1,2,1,1,2,1,1,1,1,0,0,171,37,81,63,82,11.5,13.2,NA,NA,20.7,23.7,16.2,16.6,-0.5926,-1.5517,-1.3655,-1.2264,1.080875,0,8,5,0,0,0,0,0,0,0,0,0,0,10,10,19.166666666667,10,3.333333333333,0,0,22.5
50093,0.248719,0.151098,0.095679,2.558718,1.562756,2.918777,3.470124,3.828149,1.059313,0.689993,0.754076,8.2,10.5,15.3,1.024,1.1062,1.0064,2,2,2,2,3,2,3,2,3,3,2,0.805,0.9,287,51,83,75,74,9.2,30.4,14.5,0.8,20.9,23.5,15.9,17.6,-1.1843,0.8031,0.2858,0.1806,0.949431,3,6,7,3,1,0,2,0,2,1,2,1,9,16,0,12.5,25,6.25,30,7.5,31.75
50096,0.49485,0.228907,0.09541,2.54362,1.421628,NA,3.589058,NA,NA,1.194416,0.964429,6.1,NA,13.5,0.9351,0.86,0.9562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.1,NA,NA,17.3,NA,14.5,16.2,-0.3035,NA,NA,-0.3035,1.643478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50099,0.13132,0.192316,0.091067,2.430643,1.815587,6.934649,3.674176,5.720384,0.827726,1.463702,0.992746,7.6,8.4,12.6,0.9761,1.0272,1.1275,2,2,2,3,2,2,3,1,3,3,2,0.581,1.6,234,87,100,91,98,-5.6,15.6,17.5,1.1,20.9,21.1,14.9,18.6,0.6595,-0.1702,0.6148,0.2357,1.054015,0,10,10,0,0,0,0,0,0,0,0,0,0,16,4,19,16,4,0,0,35.5
